.0-6.088;49.37@19.50#67.50%0.00$0.00
0.516;0.00@19.50#67.50%0.00$0.00
24.869;0.00@19.50#67.30%0.00$0.00
80.850;0.00@19.50#67.30%0.00$0.00
176.574;0.00@19.50#67.10%0.17$0.52
247.965;0.00@19.50#67.10%0.31$0.72
348.277;0.00@19.50#67.00%0.00$0.00
426.292;0.00@19.50#67.00%0.00$0.00
556.821;0.00@19.50#66.70%0.04$0.25
651.454;0.00@19.50#66.70%0.09$0.39
785.918;0.00@19.40#66.50%0.09$0.39
1080.932;0.00@19.40#66.50%0.00$0.00
1227.134;0.00@19.30#66.40%0.07$0.34
1499.246;0.00@19.30#66.40%0.09$0.39
1711.385;0.00@19.30#66.30%0.16$0.51
2212.458;0.00@19.30#66.30%0.23$0.62
2609.294;0.00@19.20#66.30%0.30$0.70
1480.115;0.00@19.20#66.30%0.18$0.55
859.793;0.00@19.10#66.10%0.25$0.64
99.971;0.00@19.10#66.10%0.05$0.27
-7.520;0.00@19.10#66.10%0.03$0.20
-6.400;0.00@19.10#66.10%0.03$0.22
-7.315;0.00@19.10#66.10%0.03$0.22
-6.293;0.00@19.10#66.10%0.03$0.22
-7.627;0.00@19.10#66.10%0.01$0.14
-5.309;0.00@19.10#66.10%0.01$0.14
-6.010;0.00@19.10#66.10%0.00$0.08
-5.747;0.00@19.10#66.10%0.00$0.00
-6.049;0.00@19.10#66.10%0.00$0.00
-4.335;0.00@19.10#66.10%0.01$0.14
-4.832;0.00@19.10#66.10%0.00$0.00
-4.491;0.00@19.10#66.10%0.00$0.00
-3.867;0.00@19.10#66.10%0.00$0.00
-3.341;0.00@19.10#66.10%0.00$0.00
-2.318;0.00@19.10#66.00%0.00$0.08
-2.903;0.00@19.10#66.00%0.00$0.08
-2.737;0.00@19.10#66.00%0.01$0.14
-2.484;0.00@19.10#66.00%0.00$0.00
-3.322;0.00@19.10#66.00%0.00$0.00
-2.192;0.00@19.10#66.00%0.02$0.19
-3.926;0.00@19.00#65.90%0.08$0.37
-3.770;0.00@19.00#65.90%0.00$0.00
-3.068;0.00@19.00#65.70%0.03$0.22
-3.263;0.00@19.00#65.70%0.00$0.00
-3.253;0.00@19.00#65.60%0.00$0.00
-3.799;0.00@19.00#65.60%0.00$0.08
-3.984;0.00@19.10#65.50%0.00$0.08
-5.182;0.00@19.10#65.50%0.00$0.00
-4.978;0.00@19.00#65.30%0.01$0.14
-5.348;0.00@19.00#65.30%0.00$0.00
-4.783;0.00@19.00#65.20%0.00$0.00
-4.432;0.00@19.00#65.20%0.00$0.08
-4.179;0.00@19.00#65.30%0.00$0.08
-3.507;0.00@19.00#65.30%0.00$0.00
-4.432;0.00@19.10#65.60%0.00$0.08
-4.033;0.00@19.10#65.60%0.00$0.00
-3.273;0.00@19.00#65.70%0.00$0.00
-2.416;0.00@19.00#65.70%0.00$0.08
-3.361;0.00@19.10#65.80%0.00$0.08
-2.425;0.00@19.10#65.80%0.09$0.39
